Código da Engenharia;Faturamento Médio;Quantidade em Estoque;Ordem de Fabricação Aberto;Comprometido;Disponível;Estoque Mínimo;Balanço;Prazo Produção;Máscara;Unidade de Medida;Peso Unitário;Peso Total;Lote!Econômico;Lote de!Produção
1992;0;0;0;0;0;0;0;;2.01.11.14;um;0,003;0;0;0
1994;0;2,8;0;0;2,8;0;2,8;;2.01.16.11;kg;1,03;2,06;0;9
1995;0;12,8;0;0;12,8;0;12,8;;1.17.99.03;kg;1;12;0;9
1996;0;0;0;0;0;0;0;;1.17.99.04;kg;1;0;0;0
1997;0;5,8;0;0;5,8;0;5,8;;1.17.99.05;kg;1;5;0;9
2003;0;0;0;0;0;0;0;;2.01.16.01;kg;1,03;0;0;0
2004;0;0;0;0;0;0;0;;2.01.16.02;kg;1,03;0;0;0
2009;0;0;0;0;0;0;0;;2.02.01.34;um;1,03;0;0;0
2010;0;0;0;0;0;0;0;;2.01.02.14;um;0;0;0;0
2011;0;1.292,76;908,2;1.077,30;1.123,66;583,2;540,46;;1.15.02.01;kg;1;540;0;311,04
2012;0;1.716,00;1.800,00;264;3.252,00;0;3.252,00;;1.05.04.10;kg;1;3,252;0;600
2013;0;25,3;0;2,1;23,2;0;23,2;;1.01.99.23;kg;1;23;0;30
2014;0;9,4;0;0;9,4;0;9,4;;1.05.99.10;KG;1;9;0;40
2015;0;605;6.303,50;2.847,50;4.061,00;0;4.061,00;;1.01.02.25;kg;1;4,061;0;300
2016;0;0;0;0;0;0;0;;2.02.04.38;um;0;0;0;0
2018;0;0;0;0;0;0;0;;2.01.11.39;um;0;0;0;0
2021;0;0;0;0;0;0;0;;2.01.11.40;um;0;0;0;0
2032;0;0;0;0;0;0;0;;2.01.12.06;um;1;0;0;0
2036;0;0;0;0;0;0;0;;2.01.01.11;um;1,03;0;0;0
2038;0;682,5;4.836,00;282,1;5.236,40;0;5.236,40;;1.19.01.06;kg;1;5,236;0;0
2039;0;0;0;0;0;0;0;;2.01.11.34;um;0;0;0;0
2040;0;0;0;0;0;0;0;;2.01.11.29;um;0;0;0;0
2041;0;0;0;0;0;0;0;;2.01.11.27;um;0;0;0;0
2042;0;0;0;0;0;0;0;;2.01.11.28;um;0;0;0;0
2043;0;0;0;0;0;0;0;;2.01.11.30;um;0;0;0;0
2044;0;0;0;0;0;0;0;;2.01.11.35;um;0;0;0;0
2045;0;0;0;0;0;0;0;;2.02.01.71;um;0;0;0;0
2046;0;0;0;0;0;0;0;;2.02.01.72;um;1,05;0;0;0
2049;0;0;0;0;0;0;0;;2.01.11.13;um;1;0;0;0
2050;0;0;0;0;0;0;0;;2.02.01.73;um;0;0;0;0
2051;0;0;0;0;0;0;0;;2.02.01.74;um;0;0;0;0
2053;0;0;0;0;0;0;0;;2.01.14.17;kg;0;0;0;0
2054;0;0;0;0;0;0;0;;2.01.01.99;kg;1,03;0;0;0
2055;0;0;0;0;0;0;0;;2.01.14.19;kg;1,03;0;0;0
2056;0;0;0;0;0;0;0;;2.01.11.66;kg;1,03;0;0;0
2057;0;0;0;0;0;0;0;;2.01.11.64;kg;0;0;0;0
2058;0;0;0;0;0;0;0;;2.01.02.06;kg;1,03;0;0;0
2063;0;0;0;0;0;0;0;;2.02.04.67;um;0;0;0;0
2065;0;0;0;0;0;0;0;;2.02.01.78;um;1,03;0;0;0
2066;0;0;0;0;0;0;0;;2.02.01.79;um;1,03;0;0;0
2067;0;0;0;0;0;0;0;;2.02.01.80;KG;1,03;0;0;0
2069;0;0;0;0;0;0;0;;2.02.04.69;um;0;0;0;0
2070;0;0;0;0;0;0;0;;2.02.04.70;um;0;0;0;0
2071;0;0;0;0;0;0;0;;2.02.04.71;um;0;0;0;0
2072;0;0;0;0;0;0;0;;2.02.04.72;um;0;0;0;0
2073;0;0;0;0;0;0;0;;2.02.04.73;um;0;0;0;0
2074;0;0;0;0;0;0;0;;2.02.04.74;um;0;0;0;0
2075;0;0;0;0;0;0;0;;2.02.04.75;um;0;0;0;0
2076;0;0;0;0;0;0;0;;2.02.04.76;um;0;0;0;0
2077;0;0;0;0;0;0;0;;2.02.04.77;um;0;0;0;0
2078;0;0;0;0;0;0;0;;2.02.04.78;um;0;0;0;0
2079;0;0;0;0;0;0;0;;2.02.04.79;um;0;0;0;0
2080;0;0;0;0;0;0;0;;2.02.04.80;um;0;0;0;0
2081;0;0;0;0;0;0;0;;2.01.02.51;kg;0;0;0;0
2082;0;0;0;0;0;0;0;;2.02.04.82;um;0;0;0;0
2083;0;0;0;0;0;0;0;;2.01.02.52;kg;0;0;0;0
2084;0;0;0;0;0;0;0;;2.02.04.84;um;0;0;0;0
2085;0;0;0;0;0;0;0;;2.02.04.85;um;0;0;0;0
2086;0;0;0;0;0;0;0;;2.02.04.86;um;0;0;0;0
2087;0;0;0;0;0;0;0;;2.02.04.87;um;0;0;0;0
2088;0;0;0;0;0;0;0;;2.02.04.88;um;0;0;0;0
2089;0;0;0;0;0;0;0;;2.02.04.89;um;0;0;0;0
2090;0;0;0;0;0;0;0;;2.02.04.90;um;0;0;0;0
2091;0;0;0;0;0;0;0;;2.02.04.91;um;0;0;0;0
2092;0;0;0;0;0;0;0;;2.02.04.92;um;0;0;0;0
2093;0;0;0;0;0;0;0;;2.02.04.93;um;0;0;0;0
2094;0;0;0;0;0;0;0;;2.02.04.94;um;0;0;0;0
2095;0;0;0;0;0;0;0;;2.02.04.95;um;0;0;0;0
2096;0;0;0;0;0;0;0;;2.02.04.96;um;0;0;0;0
2097;0;0;0;0;0;0;0;;2.02.04.97;um;0;0;0;0
2098;0;0;0;0;0;0;0;;2.02.04.98;um;0;0;0;0
2099;0;0;0;0;0;0;0;;2.02.04.99;um;0;0;0;0
2101;0;0;0;0;0;0;0;;2.02.04.83;um;0;0;0;0
2102;0;0;0;0;0;0;0;;2.01.02.53;kg;0;0;0;0
2103;0;0;0;0;0;0;0;;2.01.14.20;kg;0;0;0;0
2104;0;0;0;0;0;0;0;;2.01.09.13;kg;0;0;0;0
2105;0;0;0;0;0;0;0;;2.01.09.14;kg;0;0;0;0
2106;0;0;0;0;0;0;0;;2.01.11.98;kg;1;0;0;0
2108;0;0;0;0;0;0;0;;2.02.05.01;um;0;0;0;0
2109;0;0;0;0;0;0;0;;2.02.05.02;um;0;0;0;0
2110;0;0;0;0;0;0;0;;2.02.05.03;um;0;0;0;0
2111;0;0;0;0;0;0;0;;2.02.05.04;um;0;0;0;0
2113;0;0;0;0;0;0;0;;2.02.05.06;um;0;0;0;0
2114;0;0;0;0;0;0;0;;2.02.05.07;um;0;0;0;0
2115;0;0;0;0;0;0;0;;2.02.05.08;um;0;0;0;0
2117;0;0;0;0;0;0;0;;2.02.05.10;um;0;0;0;0
2118;0;0;0;0;0;0;0;;2.02.05.11;um;0;0;0;0
2120;0;0;0;0;0;0;0;;2.02.05.13;um;0;0;0;0
2121;0;0;0;0;0;0;0;;2.02.05.14;um;0;0;0;0
2122;0;0;0;0;0;0;0;;2.02.05.15;um;0;0;0;0
2123;0;0;0;0;0;0;0;;2.02.05.16;um;0;0;0;0
2124;0;0;0;0;0;0;0;;2.02.05.17;um;0;0;0;0
2125;0;0;0;0;0;0;0;;2.02.05.18;um;0;0;0;0
2127;0;0;0;0;0;0;0;;2.01.11.97;kg;1;0;0;0
2128;0;0;0;0;0;0;0;;2.02.01.83;um;1,03;0;0;0
2129;0;0;0;0;0;0;0;;2.02.01.84;um;1,03;0;0;0
2130;0;0;0;0;0;0;0;;2.02.01.85;um;1,03;0;0;0
2131;0;0;0;0;0;0;0;;2.02.01.86;um;1,03;0;0;0
2132;0;0;0;0;0;0;0;;2.02.01.87;um;1,03;0;0;0
2133;0;0;0;0;0;0;0;;2.02.01.88;um;1,03;0;0;0
2135;0;0;0;0;0;0;0;;2.01.14.22;kg;0;0;0;0
2136;0;303;2.068,00;72;2.299,00;0;2.299,00;;1.17.01.01;kg;1;2,299;0;400
2137;0;914;800;99;1.615,00;0;1.615,00;;1.17.01.02;kg;1;1,615;0;400
2139;0;409;833;108;1.134,00;0;1.134,00;;1.17.01.04;kg;1;1,134;0;400
2141;0;9,6;0;0;9,6;0;9,6;;1.17.99.06;kg;1;9;0;9
2144;0;311;390;42;659;0;659;;1.17.01.07;kg;1;659;0;400
2146;0;0;10;0;10;0;10;;1.17.99.07;kg;1;10;0;9
2149;0;0;0;0;0;0;0;;1.20.99.05;kg;1;0;0;0
2158;0;1.229,17;4.800,00;1.407,94;4.621,23;0;4.621,23;;1.18.01.02;kg;1;4,621;0;0
2159;0;784;3.600,00;496;3.888,00;0;3.888,00;;1.18.04.02;kg;1;3,888;0;0
2160;0;13,2;0;0;13,2;0;13,2;;1.18.99.02;kg;1;13;0;40
2161;0;776,69;5.400,00;1.062,52;5.114,17;0;5.114,17;;1.18.01.01;kg;1;5,114;0;600
2162;0;120;4.168,00;400;3.888,00;0;3.888,00;;1.18.04.01;kg;1;3,888;0;600
2163;0;10,4;0;5;5,4;0;5,4;;1.18.99.01;kg;1;5;0;40
2167;0;1.004,00;4.200,00;0;5.204,00;0;5.204,00;;1.18.04.04;kg;1;5,204;0;650
2168;0;2.319,97;2.400,00;573,68;4.146,29;0;4.146,29;;1.18.01.04;kg;1;4,146;0;650
2169;0;7,07;6.000,00;899,91;5.107,16;0;5.107,16;;1.18.01.05;kg;1;5,107;0;800
2170;0;2.016,00;2.400,00;104;4.312,00;0;4.312,00;;1.18.04.05;kg;1;4,312;0;400
2172;0;26,4;0;7,8;18,6;0;18,6;;1.18.99.04;kg;1;18;0;20
2173;0;6,6;0;5;1,6;0;1,6;;1.18.99.05;kg;1;1;0;50
2174;0;0;0;0;0;0;0;;2.02.01.92;um;0;0;0;0
2175;0;0;0;0;0;0;0;;2.01.02.56;kg;0;0;0;0
2179;0;602,5;1.801,50;102,5;2.301,50;0;2.301,50;;1.01.02.28;kg;1;2,301;0;300
2180;0;72;300;96;276;0;276;;1.21.02.07;kg;1;276;0;300
2186;0;0;0;0;0;0;0;;2.01.09.17;kg;0;0;0;0
2187;0;0;0;0;0;0;0;;2.01.09.18;kg;0;0;0;0
2189;0;14,6;0;1,2;13,4;0;13,4;;1.01.99.24;kg;1;13;0;30
2190;0;554,4;0;119,7;434,7;0;434,7;;1.21.21.01;kg;1;434;0;100
2191;0;6,4;0;0;6,4;0;6,4;;1.21.99.01;kg;1;6;0;20
2192;0;149,1;0;0;149,1;0;149,1;;1.09.02.11;kg;1;149;0;302,4
2193;0;9,2;0;0;9,2;0;9,2;;1.09.99.11;kg;1;9;0;14
2195;0;0;0;0;0;0;0;;1.22.99.12;kg;1;0;0;8
2196;0;8;0;0;8;0;8;;1.21.99.03;kg;1;8;0;12
2202;0;0;0;0;0;0;0;;2.01.02.57;kg;0;0;0;0
2203;0;0;0;0;0;0;0;;2.01.16.04;kg;1,03;0;0;0
2220;0;0;0;0;0;0;0;;2.01.11.61;um;1,03;0;0;0
2221;0;0;0;0;0;0;0;;2.01.06.04;kg;1;0;0;0
2224;0;0;0;0;0;0;0;;2.01.11.65;kg;0;0;0;0
2225;0;0;0;0;0;0;0;;2.01.06.05;kg;1;0;0;0
2226;0;0;0;0;0;0;0;;2.02.05.35;um;1,03;0;0;0
2227;0;0;0;0;0;0;0;;2.02.05.36;um;1,03;0;0;0
2228;0;0;0;0;0;0;0;;2.02.01.96;um;0;0;0;0
2230;0;0;0;0;0;0;0;;2.02.01.98;um;1,03;0;0;0
2231;0;0;0;0;0;0;0;;2.02.05.99;um;1,03;0;0;0
2233;0;0;0;0;0;0;0;;2.01.01.95;kg;1,03;0;0;0
2234;0;0;0;0;0;0;0;;2.02.05.38;um;1,03;0;0;0
2235;0;0;0;0;0;0;0;;2.02.05.39;um;1,03;0;0;0
2236;0;0;0;0;0;0;0;;2.02.05.40;um;1,03;0;0;0
2237;0;0;0;0;0;0;0;;2.02.05.41;um;1,03;0;0;0
2238;0;0;0;0;0;0;0;;2.02.05.42;um;1,03;0;0;0
2239;0;0;0;0;0;0;0;;2.02.05.43;um;1,03;0;0;0
2240;0;0;0;0;0;0;0;;2.01.01.96;kg;1,03;0;0;0
2241;0;0;0;0;0;0;0;;2.01.01.15;um;1,03;0;0;0
2242;0;0;0;0;0;0;0;;2.02.05.45;um;1,03;0;0;0
2243;0;0;0;0;0;0;0;;2.02.05.46;um;1,03;0;0;0
2244;0;0;0;0;0;0;0;;2.02.05.47;um;1,03;0;0;0
2245;0;0;0;0;0;0;0;;2.02.05.48;um;1,03;0;0;0
2246;0;0;0;0;0;0;0;;2.02.05.49;um;1,03;0;0;0
2247;0;0;0;0;0;0;0;;2.02.05.50;um;1,03;0;0;0
2248;0;0;0;0;0;0;0;;2.02.05.51;um;1,03;0;0;0
2249;0;0;0;0;0;0;0;;2.01.12.01;kg;0;0;0;0
2250;0;0;0;0;0;0;0;;2.01.02.62;kg;1,03;0;0;0
2251;0;0;0;0;0;0;0;;2.01.02.63;kg;1,03;0;0;0
2252;0;0;0;0;0;0;0;;2.01.02.64;kg;1,03;0;0;0
2253;0;0;0;0;0;0;0;;2.01.02.65;kg;1,03;0;0;0
2254;0;0;0;0;0;0;0;;2.01.02.66;kg;1,03;0;0;0
2255;0;0;0;0;0;0;0;;2.01.02.67;kg;1,03;0;0;0
2256;0;0;0;0;0;0;0;;2.01.02.68;kg;1,03;0;0;0
2257;0;0;0;0;0;0;0;;2.01.02.69;kg;1,03;0;0;0
2258;0;0;0;0;0;0;0;;2.01.02.70;kg;1,03;0;0;0
2259;0;0;0;0;0;0;0;;2.01.02.71;kg;1,03;0;0;0
2260;0;0;0;0;0;0;0;;2.01.02.72;kg;1,03;0;0;0
2261;0;0;0;0;0;0;0;;2.01.09.20;kg;0;0;0;0
2262;0;0;0;0;0;0;0;;2.01.09.21;kg;0;0;0;0
2263;0;0;0;0;0;0;0;;2.02.05.54;UN;0;0;0;0
2264;0;0;0;0;0;0;0;;2.02.05.55;UN;0;0;0;0
2265;0;0;0;0;0;0;0;;2.02.05.56;UN;0;0;0;0
2266;0;0;0;0;0;0;0;;2.02.05.57;UN;0;0;0;0
2267;0;0;0;0;0;0;0;;2.02.05.58;UN;0;0;0;0
2268;0;0;0;0;0;0;0;;2.02.05.59;UN;0;0;0;0
2269;0;0;0;0;0;0;0;;2.02.05.60;UN;0;0;0;0
2270;0;0;0;0;0;0;0;;2.02.05.61;UN;0;0;0;0
2271;0;0;0;0;0;0;0;;2.02.05.62;UN;0;0;0;0
2272;0;0;0;0;0;0;0;;2.02.05.63;UN;0;0;0;0
2273;0;0;0;0;0;0;0;;2.02.05.64;UN;0;0;0;0
2274;0;0;0;0;0;0;0;;2.02.05.65;UN;0;0;0;0
2275;0;0;0;0;0;0;0;;2.02.05.66;UN;0;0;0;0
2276;0;0;0;0;0;0;0;;2.02.05.67;UN;0;0;0;0
2277;0;0;0;0;0;0;0;;2.02.05.68;UN;0;0;0;0
2278;0;0;0;0;0;0;0;;2.02.05.69;UN;0;0;0;0
2279;0;0;0;0;0;0;0;;2.02.05.70;UN;0;0;0;0
2280;0;0;0;0;0;0;0;;2.02.05.71;UN;0;0;0;0
2281;0;0;0;0;0;0;0;;2.02.05.72;UN;0;0;0;0
2282;0;0;0;0;0;0;0;;2.02.05.73;UN;0;0;0;0
2283;0;0;0;0;0;0;0;;2.01.01.88;kg;1,03;0;0;0
2294;0;0;0;0;0;0;0;;2.01.11.96;kg;1;0;0;0
2299;0;0;0;0;0;0;0;;2.01.02.73;kg;0;0;0;0
2301;0;0;0;0;0;0;0;;2.01.07.04;kg;1,03;0;0;0
2304;0;0;0;0;0;0;0;;2.01.07.05;kg;1,03;0;0;0
2305;0;0;0;0;0;0;0;;2.01.14.23;kg;0;0;0;0
2307;0;0;0;0;0;0;0;;2.02.01.04;UN;0;0;0;0
2308;0;0;0;0;0;0;0;;2.02.05.74;UN;0;0;0;0
2314;0;0;0;0;0;0;0;;2.01.14.24;kg;1,03;0;0;0
2315;0;0;0;0;0;0;0;;2.02.05.77;um;0;0;0;0
2316;0;0;0;0;0;0;0;;1.05.04.24;um;1,04;0;0;0
2317;0;0;0;0;0;0;0;;2.02.05.78;um;0;0;0;0
2318;0;0;0;0;0;0;0;;2.02.05.79;um;0;0;0;0
2319;0;0;0;0;0;0;0;;2.02.05.80;um;0;0;0;0
2320;0;0;0;0;0;0;0;;2.01.01.97;kg;1.030,00;0;0;0
2325;0;0;0;0;0;0;0;;2.01.07.06;kg;1,03;0;0;0
2326;0;0;0;0;0;0;0;;2.01.07.07;kg;1,03;0;0;0
2328;0;0;0;0;0;0;0;;2.02.07.01;UN;0;0;0;0
2329;0;0;0;0;0;0;0;;2.02.05.81;UN;0;0;0;0
2330;0;0;0;0;0;0;0;;2.02.07.02;UN;0;0;0;0
2331;0;0;0;0;0;0;0;;2.02.07.03;UN;0;0;0;0
2332;0;0;0;0;0;0;0;;2.02.07.04;UN;0;0;0;0
2333;0;0;0;0;0;0;0;;2.02.07.05;UN;0;0;0;0
2334;0;0;0;0;0;0;0;;2.02.07.06;UN;0;0;0;0
2335;0;0;0;0;0;0;0;;2.02.07.07;UN;0;0;0;0
2336;0;0;0;0;0;0;0;;2.01.09.22;kg;0;0;0;0
2337;0;0;0;0;0;0;0;;2.02.07.09;UN;0;0;0;0
2338;0;0;0;0;0;0;0;;2.02.07.10;UN;0;0;0;0
2340;0;0;0;0;0;0;0;;2.02.07.11;kg;1,03;0;0;0
2342;0;0;0;0;0;0;0;;2.02.07.12;UN;0;0;0;0
2345;0;0;0;0;0;0;0;;2.02.07.45;UN;0;0;0;0
2346;0;0;0;0;0;0;0;;2.02.07.41;UN;0;0;0;0
2347;0;0;0;0;0;0;0;;2.02.07.42;UN;0;0;0;0
2348;0;0;0;0;0;0;0;;2.02.07.43;UN;0;0;0;0
2349;0;0;0;0;0;0;0;;2.02.07.44;UN;0;0;0;0
2350;0;0;0;0;0;0;0;;2.02.07.46;UN;0;0;0;0
2353;0;0;0;0;0;0;0;;2.02.06.08;UN;0;0;0;0
2354;0;0;0;0;0;0;0;;2.02.07.13;UN;0;0;0;0
2355;0;0;0;0;0;0;0;;2.02.07.14;UN;0;0;0;0
2356;0;0;0;0;0;0;0;;2.02.07.15;UN;0;0;0;0
2357;0;0;0;0;0;0;0;;2.02.07.16;UN;0;0;0;0
2358;0;0;0;0;0;0;0;;2.02.07.17;UN;0;0;0;0
2359;0;0;0;0;0;0;0;;2.02.07.18;UN;0;0;0;0
2360;0;0;0;0;0;0;0;;2.02.07.19;UN;0;0;0;0
2361;0;0;0;0;0;0;0;;2.02.07.20;UN;0;0;0;0
2362;0;0;0;0;0;0;0;;2.02.07.21;UN;0;0;0;0
2363;0;0;0;0;0;0;0;;2.02.07.22;UN;0;0;0;0
2364;0;0;0;0;0;0;0;;2.02.07.23;UN;0;0;0;0
2365;0;0;0;0;0;0;0;;2.02.07.24;UN;0;0;0;0
2366;0;0;0;0;0;0;0;;2.02.07.25;UN;0;0;0;0
2367;0;0;0;0;0;0;0;;2.02.07.26;UN;0;0;0;0
2368;0;0;0;0;0;0;0;;2.02.07.27;UN;0;0;0;0
2369;0;0;0;0;0;0;0;;2.02.07.28;UN;0;0;0;0
2370;0;0;0;0;0;0;0;;2.02.07.29;UN;0;0;0;0
2371;0;0;0;0;0;0;0;;2.02.07.30;UN;0;0;0;0
2372;0;0;0;0;0;0;0;;2.02.07.31;UN;0;0;0;0
2373;0;0;0;0;0;0;0;;2.02.07.32;UN;0;0;0;0
2374;0;0;0;0;0;0;0;;2.02.07.33;UN;0;0;0;0
2375;0;0;0;0;0;0;0;;2.02.07.34;UN;0;0;0;0
2376;0;0;0;0;0;0;0;;2.02.07.35;UN;0;0;0;0
2377;0;0;0;0;0;0;0;;2.02.07.36;UN;0;0;0;0
2378;0;0;0;0;0;0;0;;2.02.07.37;UN;0;0;0;0
2379;0;0;0;0;0;0;0;;2.02.07.38;UN;0;0;0;0
2380;0;0;0;0;0;0;0;;2.02.07.39;UN;0;0;0;0
2381;0;0;0;0;0;0;0;;2.02.07.40;UN;0;0;0;0
2383;0;0;0;0;0;0;0;;2.01.10.16;kg;0;0;0;0
3000;0;0;0;0;0;0;0;;1.08.04.11;kg;1;0;0;0
3001;0;0;1.200,00;400;800;0;800;;1.21.25.01;kg;1;800;0;300
3003;0;0;300;0;300;0;300;;1.21.14.01;kg;1;300;0;300
3004;0;126;927;0;1.053,00;0;1.053,00;;1.09.12.11;kg;1;1,053;0;308
3010;0;2.128,00;7.196,00;1.848,00;7.476,00;0;7.476,00;;1.05.12.13;kg;1;7,476;0;600
3011;0;9,6;0;0;9,6;0;9,6;;1.05.99.12;kg;1;9;0;40
3012;0;3.104,00;0;244;2.860,00;0;2.860,00;;1.05.04.14;kg;1;2,86;0;600
3013;0;0;0;0;0;0;0;;1.05.12.14;kg;1;0;0;0
3014;0;112;420;280;252;0;252;;1.05.12.15;kg;1;252;0;400
6000;0;0;0;0;0;0;0;;1.01.02.43;UN;13.737,00;0;0;0
